"tranportador_atrasou","PALLETS","troca_ordem","troc_h_carga","troc_h_descarga","troc_recurso","recurso_extra","isca","retorno","possui_prioridade","numero_acessos","numero_de_macros","numero_manutencao","ultimo_odometro_dia","GR_JORNADA","CIDADE_OPERACO","OPERACAO","ERAS_DESCRICAO","IDADE_CAVALO","IDADE_CARRETA","MARCA_CAVALO","MARCA_CARRETA","numero_paradas_proibidas","VIAG_VALOR_CARGA","VIAG_PESO_TOTAL","VIAG_DISTANCIA","delta_inicio_cadastro","delta_fim_inicio","numero_paradas.rast","numero_paradas.gris"
"1",28,"0","0","0","0","0","0","0","1",4,31,1,131105,"1","MAR","CROSS","NV FROTA",1,5,"DAF","FACCHINI",0,81531.62,32706.83,175.09,1.76583333333333,1.14861111111111,6,4
"0",28,"0","0","0","0","0","0","0","1",3,27,0,150117,"1","MAR","CROSS","NV FROTA",1,5,"DAF","FACCHINI",0,99689.18,31531,205.96,0.194722222222222,3.05861111111111,5,4
"0",28,"0","0","0","0","0","0","0","1",3,29,1,152145,"1","MAR","CROSS","NV FROTA",1,8,"DAF","FACCHINI",0,101266.57,34980.78,175.09,0.214444444444444,10.2097222222222,3,4
"1",28,"0","0","0","0","0","0","0","1",1,16,1,140640,"1","CVL","SPOT","NV FROTA",2,0,"DAF","FACCHINI",0,51405.56,31383.86,404,0.464444444444444,20.4083333333333,2,8
"1",28,"0","0","0","0","0","0","0","1",1,17,0,35222,"1","CVL","SPOT","NV FROTA",0,1,"SCANIA","FACCHINI",0,69671.27,29971.64,175.09,0.365,19.2075,3,4
"0",28,"0","0","1","0","0","0","0","0",2,24,2,125157,"1","MAR","SPOT","NV FROTA",1,9,"SCANIA","LIBRELATO",0,30611.5,12415.7,194.32,4.315,6.46944444444444,6,6
"1",28,"0","0","1","0","0","0","0","0",4,31,1,131105,"1","MAR","CROSS","NV FROTA",1,5,"DAF","FACCHINI",0,73346,6006,175.06,0.579444444444444,6.1275,6,4
"1",28,"0","0","0","0","0","0","0","1",1,13,0,134587,"0","CVL","SPOT","NV FROTA",2,5,"DAF","FACCHINI",0,71612.79,29013.28,141.51,1.04833333333333,28.81,1,3
"1",28,"0","0","0","0","0","0","0","1",1,14,0,82556,"1","CVL","SPOT","NV FROTA",1,6,"DAF","FACCHINI",0,69738.7,27812.72,319.25,0.773888888888889,47.7697222222222,3,7
"0",28,"0","0","0","0","0","0","0","1",1,27,0,139827,"1","BTM","OP MINAS","NV FROTA",2,2,"DAF","FACCHINI",0,69608.7,27812.72,46.65,0.844166666666667,4.01472222222222,5,1
"0",28,"0","0","0","0","0","0","0","1",2,24,0,122448,"1","BTM","OP MINAS","NV FROTA",2,3,"DAF","FACCHINI",0,44575.81,34465.6,74.03,0.776388888888889,3.45166666666667,3,3
